"id","category","sub_category","year","end_year","country","region","country_income_group","sids","lldc","fcs","ida","recipient_institution","recipient_institution_type","implementing_agency","provider","provider_region","provider_country","provider_type","sector_name","program_scheme_project","fund_name","fund_type","bi_multi_code","allocable","type_of_aid","channel_code","gender","environment","biodiversity","ocean_oda","sustainable_ocean_oda","land_based_oda","plastic_oda","plastic_specific_oda","solid_waste_oda","wastewater_oda","ft_concessional_loan","ft_commercial_loan","ft_equity","ft_grant","ft_others","commitment","created_at","updated_at","sources_intermediaries","archetype","pathways","convertible_bonds","public_offering"
"220","public finance","Development Finance","2020","2024","New Zealand","Oceania","High income","1","0","0","1","UNEP","International Agency","World Bank","UNEP","Africa","Kenya","Research Institute","Water Supply & Sanitation","hZ6lG9XcBWP4JECL","Global Climate Change Alliance (GCCA)","Multi Donor Regional","1","1","C01","41107","1","0",,"1","1","0","1","1","0","1","86","63","33","27","76","827","10/10/2024 16:12:52","10/10/2024 16:12:52","Regional Development Bank","Recovery for controlled disposal","Non-circular Pathways","90","119"
"221","public finance","Domestic Finance","2019","2023","Russia","Europe","High income","1","0","1","0","UNEP","Intergovernmental Organisation","World Bank","South Korea","Asia","South Korea","Government agency","Transport & Storage","1Wv23gTuZtiom65b","Forest Investment Program (FIP)","Multilateral","8","1","D02","11001","1","2","0","0","0","1","0","1","1","1","33","97","46","75","76","484","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Public Entities","Plastic Waste-to-Energy","Non-circular Pathways","176","178"
"222","public finance","Domestic Finance","2019","2018","Canada","North America","High income","0","0","1","0","Economic Affairs and Investment Division Ministry of Finance","Regional agency","World Bank","UNEP","Africa","Kenya","Non-profit organization","Transport & Storage","bV0kDmwcmgksxAvp","Amazon Fund","Multi Donor National","4","0","B03","11001","1","2","1","1","0","1","0","0","1","1","93","24","60","5","62","268","10/10/2024 16:12:52","10/10/2024 16:12:52","European Union Institution","Managed Landfilling","Non-circular Pathways","107","89"
"223","public finance","MEA Finance","2022","2024","New Zealand","Oceania","High income","0","1","0","1","Economic Affairs and Investment Division Ministry of Finance","Government agency","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Regional agency","Transport & Storage","sEB1F5YHSFzbBHiN","Forest Investment Program (FIP)","Multi Donor Regional","1","1","C01","41107","1","1","1","1","0","0","1","0","0","0","78","96","82","60","45","209","10/10/2024 16:12:52","10/10/2024 16:12:52","Central Government","Incineration","Non-circular Pathways","192","92"
"224","private finance","Private Finance","2023","2018","Bangladesh","Asia","High income","0","0","1","1","UNEP","Regional Development Bank","International Union for Conservation of Nature (IUCN)","Sweden","Europe","Sweden","National Institute","Post-Secondary Education","V3md7gYTS5Otfanl","Amazon Fund","Multilateral","4","1","B04","21000","1","2","1","0","0","0","0","0","0","0","75","60","81","61","38","344","10/10/2024 16:12:52","10/10/2024 16:12:52","Local Government","Training/ Capacity Building/ Education","Supporting Pathways","197","11"
"225","public finance","Development Finance","2020","2020","Fiji","Oceania","Lower middle income","1","1","1","0","Economic Affairs and Investment Division Ministry of Finance","Regional agency","World Bank","UNEP","Africa","Kenya","National Institute","General Environment Protection","elx2TXlk0lBusRef","Amazon Fund","Multi Donor National","1","0","B04","41107","0","0","0","0","0","0","1","0","1","1","42","82","22","33","70","859","10/10/2024 16:12:52","10/10/2024 16:12:52","ILBI*","Plastic Waste-to-Energy","Non-circular Pathways","67","36"
"226","public finance","Domestic Finance","2024","2024","Canada","North America","Low income","0","1","1","0","Economic Affairs and Investment Division Ministry of Finance","Non-profit regional funds","International Union for Conservation of Nature (IUCN)","Sweden","Europe","Sweden","Non-profit organization","General Environment Protection","l160uvM42Wg5PJEU","Forest Investment Program (FIP)","Multi Donor National","3","1","B04","11001","1",,"2","0","0","1","1","0","1","1","59","52","13","33","26","323","10/10/2024 16:12:52","10/10/2024 16:12:52","Local Government","Training/ Capacity Building/ Education","Supporting Pathways","81","10"
"227","public finance","Development Finance","2019","2023","South Korea","Asia","High income","0","1","1","1","Ministry of Environment and Renewable Energy","Regional agency","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","Foundation","Transport & Storage","zKED9I0ZptAyaAWy","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multilateral","8","0","E01","11001","1",,"0","0","0","0","0","0","0","1","83","80","97","30","52","271","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Investors","Training/ Capacity Building/ Education","Supporting Pathways","31","89"
"228","public finance","Domestic Finance","2024","2021","Mexico","Latin America and the Caribbean","Upper middle income","1","0","1","1","Economic Affairs and Investment Division Ministry of Finance","Regional agency","International Union for Conservation of Nature (IUCN)","UNEP","Africa","Kenya","International Agency","Water Supply & Sanitation","Cs36MfoXiEjXqQBB","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor National","8","0","B03","41107",,"2",,"1","0","0","0","0","0","1","82","96","66","74","27","208","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Equity, Venture Capital","Incineration","Non-circular Pathways","111","189"
"229","public finance","Domestic Finance","2018","2022","Sweden","Europe","Upper middle income","1","1","1","0","Economic Affairs and Investment Division Ministry of Finance","Non-profit regional funds","International Union for Conservation of Nature (IUCN)","Sweden","Europe","Sweden","Regional Government","General Environment Protection","rnnC9GSTBlTUp3Vz","Forest Investment Program (FIP)","Multi Donor Regional","7","1","D01","11001",,"1",,"1","1","1","0","1","0","1","56","51","17","16","78","109","10/10/2024 16:12:52","10/10/2024 16:12:52","International Monetary Fund (IMF)","Operational Platforms","Supporting Pathways","169","33"
"230","private finance","Private Finance","2018","2024","Indonesia","Asia","High income","0","1","1","0","Economic Affairs and Investment Division Ministry of Finance","Intergovernmental Organisation","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","Government agency","Transport & Storage","XVgdObxvfA40yTLk","Amazon Fund","Multi Donor Regional","8","0","B04","41107",,"0","0","0","0","1","0","0","1","1","54","71","56","65","79","423","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Equity, Venture Capital","Plastic Waste-to-Fuel","Non-circular Pathways","13","152"
"231","public finance","Development Finance","2020","2024","Cuba","Latin America and the Caribbean","Lower middle income","0","0","0","1","Economic Affairs and Investment Division Ministry of Finance","Research Institute","World Bank","South Korea","Asia","South Korea","Intergovernmental Organisation","General Environment Protection","eRaRe75aDjwpPMuj","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor Regional","3","1","D02","21000","0","1",,"1","0","1","1","1","1","0","69","86","63","8","94","852","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Public Entities","Clean-up","Non-circular Pathways","65","133"
"232","private finance","Private Finance","2019","2020","India","Asia","Low income","1","1","0","0","Ministry of Environment and Renewable Energy","International Agency","World Bank","UNEP","Africa","Kenya","National Institute","Transport & Storage","wRjIXx6yqsskmBeC","Forest Investment Program (FIP)","Multilateral","8","1","C01","41107","2",,,"1","0","1","0","1","1","0","72","87","58","98","57","390","10/10/2024 16:12:52","10/10/2024 16:12:52","Regional Development Bank","Managed Landfilling","Non-circular Pathways","74","156"
"233","private finance","Private Finance","2021","2021","United States","North America","High income","1","1","0","0","UNEP","International Agency","World Bank","UNEP","Africa","Kenya","National Institute","Water Supply & Sanitation","6PAwbZHe64IPYHkE","Global Climate Change Alliance (GCCA)","Multilateral","7","1","B04","22000","2",,"0","1","0","1","1","1","1","1","48","31","49","53","7","184","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Public Entities","Recovery for controlled disposal","Non-circular Pathways","152","148"
"234","public finance","MEA Finance","2021","2022","Germany","Europe","Upper middle income","1","0","1","0","Economic Affairs and Investment Division Ministry of Finance","Government agency","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","Government","Water Supply & Sanitation","Dj1eAI0IuXlSNCl3","Amazon Fund","Multilateral","3","1","B04","41107","0","2","2","1","1","0","1","1","0","0","39","66","45","21","8","566","10/10/2024 16:12:52","10/10/2024 16:12:52","World Bank Group (WB)","Incineration","Non-circular Pathways","114","150"
"235","public finance","Domestic Finance","2021","2020","United States","North America","Low income","1","0","1","0","Ministry of Environment and Renewable Energy","Foundation","World Bank","South Korea","Asia","South Korea","Intergovernmental Organisation","Post-Secondary Education","rHVL2R7lBy9NqYnc","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor National","3","1","C01","21000","2","0","0","1","1","1","0","1","1","0","82","66","30","72","9","699","10/10/2024 16:12:52","10/10/2024 16:12:52","United Nations agency, fund or commission","Clean-up","Non-circular Pathways","166","173"
"236","public finance","Domestic Finance","2023","2021","Australia","Oceania","High income","1","1","1","0","Economic Affairs and Investment Division Ministry of Finance","Regional agency","The United Nations Environment Programme (UNEP)","UNEP","Africa","Kenya","Government","General Environment Protection","o9FoMAWDI3wRRzOH","Forest Investment Program (FIP)","Multi Donor Regional","3","1","D01","11001","0","0","0","0","1","0","0","1","1","0","41","36","49","5","10","567","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Multilateral Institution","Recovery for controlled disposal","Non-circular Pathways","167","191"
"237","private finance","Private Finance","2024","2020","Fiji","Oceania","High income","0","0","0","1","Economic Affairs and Investment Division Ministry of Finance","Intergovernmental Organisation","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","National Institute","Transport & Storage","Qv48WuFjG39Ha65i","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor Regional","3","1","C01","22000","2","0","2","0","1","0","1","1","1","1","57","4","24","85","64","225","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Corporations","Circular Use","Circular Pathways","85","170"
"238","public finance","Domestic Finance","2024","2019","New Zealand","Oceania","Low income","0","1","1","0","UNEP","Corporation","The United Nations Environment Programme (UNEP)","South Korea","Asia","South Korea","Regional Development Bank","Water Supply & Sanitation","e1otVediwHk43Jj2","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor National","7","0","D02","41107","0","1",,"1","1","1","0","1","0","1","42","36","19","69","65","681","10/10/2024 16:12:52","10/10/2024 16:12:52","Regional Development Bank","Research and Development","Supporting Pathways","159","109"
"239","public finance","MEA Finance","2022","2023","Canada","North America","Upper middle income","1","0","1","1","UNEP","Regional agency","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Research Institute","Post-Secondary Education","hMqkBR5rktlbavpR","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multilateral","4","1","C01","11001","0",,"2","0","0","1","1","1","1","0","69","63","56","47","25","919","10/10/2024 16:12:52","10/10/2024 16:12:52","Public Corporations","Operational Platforms","Supporting Pathways","118","32"
"240","private finance","Private Finance","2021","2021","Somalia","Africa","Upper middle income","0","0","0","0","UNEP","Government agency","World Bank","UNEP","Africa","Kenya","Government agency","Water Supply & Sanitation","zRshsaL0mk4xb8rz","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor National","7","1","D02","11001","0","1","0","1","0","1","1","0","1","1","85","40","79","30","42","576","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Equity, Venture Capital","Plastic Waste-to-Energy","Non-circular Pathways","45","144"
"241","public finance","Development Finance","2018","2023","United States","North America","Upper middle income","0","0","0","0","UNEP","Corporation","World Bank","Sweden","Europe","Sweden","Government agency","Post-Secondary Education","wB2LVVLpO84KmjAk","Forest Investment Program (FIP)","Multi Donor Regional","3","1","B04","21000","2","2",,"0","0","0","0","1","1","1","82","10","17","60","74","191","10/10/2024 16:12:52","10/10/2024 16:12:52","Individuals and Family Offices","Circular Use","Circular Pathways","136","178"
"242","private finance","Private Finance","2019","2022","Ethiopia","Africa","Low income","1","1","0","0","Economic Affairs and Investment Division Ministry of Finance","Intergovernmental Organisation","World Bank","South Korea","Asia","South Korea","Regional agency","General Environment Protection","5d2MI6CecHjE8LTE","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor National","7","0","D01","41107","0","1","0","1","0","1","1","0","1","0","55","70","59","28","14","868","10/10/2024 16:12:52","10/10/2024 16:12:52","Institutional Investors","Other Services","Supporting Pathways","56","183"
"243","public finance","Domestic Finance","2022","2022","Canada","North America","High income","1","0","1","1","UNEP","Government","International Union for Conservation of Nature (IUCN)","Sweden","Europe","Sweden","Non-profit organization","Post-Secondary Education","TUv4gTBzqDBZdmjB","Global Climate Change Alliance (GCCA)","Multi Donor National","1","1","B04","22000",,"1",,"0","0","0","0","1","1","0","28","79","74","76","54","558","10/10/2024 16:12:52","10/10/2024 16:12:52","Public Corporations","Managed Landfilling","Non-circular Pathways","86","31"
"244","public finance","MEA Finance","2022","2023","Brazil","Latin America and the Caribbean","Low income","1","1","0","1","UNEP","Regional agency","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Regional Government","Water Supply & Sanitation","qtBAnO4HlTEu7e0U","Global Climate Change Alliance (GCCA)","Multilateral","4","0","C01","11001","1",,"0","1","0","0","0","1","1","0","87","24","12","17","48","115","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Investors","Circular Design and Production","Circular Pathways","26","105"
"245","public finance","Development Finance","2018","2024","Ethiopia","Africa","Upper middle income","0","1","1","1","Economic Affairs and Investment Division Ministry of Finance","Foundation","World Bank","South Korea","Asia","South Korea","Regional Government","General Environment Protection","iUxVjxw09YPqvm0n","Global Climate Change Alliance (GCCA)","Multilateral","7","1","E01","22000","0","1","2","1","1","1","1","1","1","1","6","75","23","94","100","797","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Investors","Research and Development","Supporting Pathways","60","196"
"246","public finance","MEA Finance","2021","2023","Indonesia","Asia","Lower middle income","0","1","0","0","Economic Affairs and Investment Division Ministry of Finance","Corporation","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","International Agency","Water Supply & Sanitation","WTaBGaL68kiq0wT4","Global Climate Change Alliance (GCCA)","Multi Donor Regional","4","1","D01","21000","0","2","1","1","0","0","1","0","1","1","59","76","63","17","70","542","10/10/2024 16:12:52","10/10/2024 16:12:52","Institutional Investors","Plastic Waste-to-Fuel","Non-circular Pathways","197","74"
"247","private finance","Private Finance","2024","2019","Fiji","Oceania","Low income","1","0","1","0","UNEP","Regional Development Bank","International Union for Conservation of Nature (IUCN)","Sweden","Europe","Sweden","Corporation","Water Supply & Sanitation","LEMwjoTGqyOpbrbq","Global Environment Facility (GEF4)","Multilateral","4","1","D01","21000","2","1","0","1","1","1","1","0","1","1","53","85","55","25","15","858","10/10/2024 16:12:52","10/10/2024 16:12:52","Public Corporations","Incineration","Non-circular Pathways","86","139"
"248","public finance","Development Finance","2024","2024","Ethiopia","Africa","High income","0","0","0","0","Economic Affairs and Investment Division Ministry of Finance","Regional agency","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","National Institute","Water Supply & Sanitation","Ytc2bdPOH3Ffs31v","Forest Investment Program (FIP)","Multi Donor Regional","7","0","D01","21000","1","1","0","1","1","0","1","0","1","0","98","22","74","38","34","746","10/10/2024 16:12:52","10/10/2024 16:12:52","Other MEAs","Managed Landfilling","Non-circular Pathways","191","44"
"249","private finance","Private Finance","2024","2022","Germany","Europe","Upper middle income","0","1","1","1","Ministry of Environment and Renewable Energy","Foundation","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Regional Government","Water Supply & Sanitation","YhyiDtjO0RLToYhV","Amazon Fund","Multilateral","7","1","E01","21000","0",,"0","1","1","0","1","1","1","0","91","46","73","53","8","339","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Corporations","Other Services","Supporting Pathways","155","82"
"250","private finance","Private Finance","2019","2021","France","Europe","Lower middle income","0","1","0","0","Economic Affairs and Investment Division Ministry of Finance","Government agency","The United Nations Environment Programme (UNEP)","South Korea","Asia","South Korea","Research Institute","Water Supply & Sanitation","g3zHR9cRxVREPqOa","Adaptation for Smallholder Agriculture Programme (ASAP)","Multilateral","1","0","E01","41107",,,"1","1","1","0","1","0","1","1","27","83","77","87","79","412","10/10/2024 16:12:52","10/10/2024 16:12:52","ILBI*","Managed Landfilling","Non-circular Pathways","10","69"
"251","public finance","Development Finance","2020","2020","United States","North America","High income","0","1","0","1","UNEP","Regional agency","World Bank","UNEP","Africa","Kenya","Foundation","General Environment Protection","X63QHrQyfzEmDRUh","Adaptation Fund (AF)","Multi Donor Regional","4","1","B03","22000","2","1","2","1","0","0","0","0","1","1","10","94","26","49","37","288","10/10/2024 16:12:52","10/10/2024 16:12:52","International Monetary Fund (IMF)","Value Recovery","Circular Pathways","144","69"
"252","public finance","Development Finance","2023","2022","Canada","North America","High income","0","1","0","0","UNEP","Foundation","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Research Institute","General Environment Protection","0RoAGukHyVg35yjg","Global Climate Change Alliance (GCCA)","Multi Donor Regional","4","0","B04","22000","2","0","2","1","1","0","0","0","1","0","24","97","88","78","22","982","10/10/2024 16:12:52","10/10/2024 16:12:52","ILBI*","Managed Landfilling","Non-circular Pathways","193","136"
"253","public finance","Domestic Finance","2024","2021","Canada","North America","Low income","1","0","1","0","Ministry of Environment and Renewable Energy","Non-profit organization","International Union for Conservation of Nature (IUCN)","UNEP","Africa","Kenya","Corporation","Post-Secondary Education","TLSC7p9ZoKA6N5uA","Forest Investment Program (FIP)","Multi Donor Regional","3","1","E01","11001","2","0","1","0","0","1","0","0","1","0","85","100","49","26","22","499","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Public Entities","Recovery for controlled disposal","Non-circular Pathways","103","20"
"254","private finance","Private Finance","2018","2020","United States","North America","High income","1","0","1","1","UNEP","Regional Government","World Bank","UNEP","Africa","Kenya","Research Institute","General Environment Protection","oMktQe1vJ95OjU8W","Adaptation for Smallholder Agriculture Programme (ASAP)","Multilateral","7","0","E01","22000","1","0","0","0","0","0","0","1","1","1","96","13","66","23","71","890","10/10/2024 16:12:52","10/10/2024 16:12:52","Commercial Banks and Similar FIs","Incineration","Non-circular Pathways","168","186"
"255","public finance","MEA Finance","2018","2022","South Korea","Asia","Lower middle income","1","0","1","1","UNEP","Research Institute","World Bank","South Korea","Asia","South Korea","Corporation","General Environment Protection","CP2E3IyPCm78GbV5","Amazon Fund","Multilateral","4","0","C01","11001",,,,"1","0","1","1","0","0","1","88","58","18","24","69","787","10/10/2024 16:12:52","10/10/2024 16:12:52","Institutional Investors","Clean-up","Non-circular Pathways","89","10"
"256","public finance","MEA Finance","2024","2018","India","Asia","Upper middle income","0","0","1","1","Ministry of Environment and Renewable Energy","Government agency","International Union for Conservation of Nature (IUCN)","UNEP","Africa","Kenya","Intergovernmental Organisation","General Environment Protection","UZr6bLYKd4s1ZDPQ","Global Environment Facility (GEF4)","Multi Donor National","8","0","D01","41107","1",,"1","1","0","0","1","0","1","1","80","19","70","85","21","389","10/10/2024 16:12:52","10/10/2024 16:12:52","United Nations agency, fund or commission","Clean-up","Non-circular Pathways","177","26"
"257","public finance","MEA Finance","2024","2022","Somalia","Africa","High income","1","0","1","1","Ministry of Environment and Renewable Energy","Non-profit regional funds","World Bank","UNEP","Africa","Kenya","Government","General Environment Protection","xOpaxskiUwaD7Q0O","Forest Investment Program (FIP)","Multi Donor National","3","0","D01","11001","2","1",,"0","1","1","1","0","1","0","68","44","40","11","70","880","10/10/2024 16:12:52","10/10/2024 16:12:52","United Nations agency, fund or commission","Circular Design and Production","Circular Pathways","106","126"
"258","public finance","Domestic Finance","2024","2022","Kenya","Africa","High income","1","1","0","0","UNEP","National Institute","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Non-profit organization","Post-Secondary Education","ANj1F2ffHAD9VPWD","Global Climate Change Alliance (GCCA)","Multilateral","7","1","D01","41107","0","0",,"0","0","1","1","0","0","0","13","24","95","51","21","415","10/10/2024 16:12:52","10/10/2024 16:12:52","Public Corporations","Training/ Capacity Building/ Education","Supporting Pathways","80","131"
"259","private finance","Private Finance","2019","2018","Bangladesh","Asia","Lower middle income","1","1","0","1","Ministry of Environment and Renewable Energy","Intergovernmental Organisation","World Bank","UNEP","Africa","Kenya","International Agency","General Environment Protection","IRPHk8Vb0x3Zfx7o","Global Environment Facility (GEF4)","Multilateral","3","1","D01","11001","2","1","1","0","1","0","1","0","0","0","92","7","96","89","83","203","10/10/2024 16:12:52","10/10/2024 16:12:52","United Nations agency, fund or commission","Value Recovery","Circular Pathways","130","66"
"260","private finance","Private Finance","2019","2024","Spain","Europe","Low income","0","0","0","0","UNEP","Regional Government","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Regional Development Bank","Post-Secondary Education","uMwGI6T9U8bF7UIa","Global Environment Facility (GEF4)","Multilateral","8","0","C01","41107","0","0","1","0","1","0","0","1","0","1","7","60","53","65","67","664","10/10/2024 16:12:52","10/10/2024 16:12:52","Other MEAs","Digital Mapping","Supporting Pathways","154","96"
"261","public finance","Development Finance","2021","2022","Bangladesh","Asia","High income","0","0","0","1","Ministry of Environment and Renewable Energy","National Institute","World Bank","Sweden","Europe","Sweden","Non-profit regional funds","Water Supply & Sanitation","MY9FtLMuHbQUAVpd","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor Regional","8","0","B03","21000","2","0","1","1","1","1","0","0","0","1","66","81","11","25","37","511","10/10/2024 16:12:52","10/10/2024 16:12:52","Institutional Investors","Recovery for controlled disposal","Non-circular Pathways","108","34"
"262","public finance","Development Finance","2024","2021","Canada","North America","Lower middle income","0","0","1","1","Ministry of Environment and Renewable Energy","International Agency","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","Regional agency","General Environment Protection","SpXOskk9TOKAKWx3","Global Climate Change Alliance (GCCA)","Multi Donor Regional","4","0","D02","41107","0","2",,"1","1","0","0","0","0","1","39","78","27","41","14","709","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Multilateral Institution","Circular Design and Production","Circular Pathways","11","186"
"263","public finance","MEA Finance","2021","2018","Cuba","Latin America and the Caribbean","Low income","1","1","1","1","Economic Affairs and Investment Division Ministry of Finance","Corporation","The United Nations Environment Programme (UNEP)","South Korea","Asia","South Korea","Non-profit regional funds","Water Supply & Sanitation","ATHYI0fL9JfOew7L","Global Climate Change Alliance (GCCA)","Multi Donor Regional","3","0","D02","21000","1","0","2","0","1","1","1","0","1","0","68","68","67","5","35","139","10/10/2024 16:12:52","10/10/2024 16:12:52","Central Government","Plastic Waste-to-Energy","Non-circular Pathways","76","101"
"264","private finance","Private Finance","2020","2020","Australia","Oceania","Lower middle income","0","1","1","1","Economic Affairs and Investment Division Ministry of Finance","Non-profit regional funds","International Union for Conservation of Nature (IUCN)","Sweden","Europe","Sweden","Government","Water Supply & Sanitation","B6V7pDx3nMhCrsG1","Forest Investment Program (FIP)","Multi Donor Regional","7","1","E01","21000","0","0","1","0","1","0","0","1","1","0","62","57","61","91","67","835","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Corporations","Value Recovery","Circular Pathways","114","186"
"265","public finance","Domestic Finance","2024","2022","Argentina","Latin America and the Caribbean","High income","1","1","1","0","UNEP","Regional Development Bank","World Bank","South Korea","Asia","South Korea","Intergovernmental Organisation","General Environment Protection","731KpWGutm51v4z6","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor Regional","7","1","D02","22000",,"2","1","1","1","0","1","1","0","1","47","53","11","30","95","826","10/10/2024 16:12:52","10/10/2024 16:12:52","Regional Development Bank","Circular Use","Circular Pathways","11","110"
"266","private finance","Private Finance","2019","2021","Australia","Oceania","Low income","0","0","1","1","UNEP","Regional Development Bank","International Union for Conservation of Nature (IUCN)","Sweden","Europe","Sweden","Intergovernmental Organisation","Post-Secondary Education","eCGG2jnR4EE1XR5y","Adaptation for Smallholder Agriculture Programme (ASAP)","Multi Donor Regional","3","0","B04","21000",,"2","1","1","1","0","0","1","0","0","13","16","74","88","67","642","10/10/2024 16:12:52","10/10/2024 16:12:52","United Nations agency, fund or commission","Managed Landfilling","Non-circular Pathways","96","140"
"267","private finance","Private Finance","2018","2019","Somalia","Africa","Upper middle income","0","0","1","1","Ministry of Environment and Renewable Energy","Regional agency","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","Intergovernmental Organisation","Transport & Storage","vc4IvAEFxN3IeDs3","Global Climate Change Alliance (GCCA)","Multi Donor Regional","4","0","D01","22000","0","1","0","0","1","1","0","1","1","1","69","86","62","58","23","726","10/10/2024 16:12:52","10/10/2024 16:12:52","Local Government","Managed Landfilling","Non-circular Pathways","71","48"
"268","public finance","MEA Finance","2024","2022","Canada","North America","Low income","1","1","1","1","UNEP","Regional Government","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Non-profit regional funds","Post-Secondary Education","oHt7pYwJSUtpqzDc","Global Climate Change Alliance (GCCA)","Multi Donor Regional","4","1","C01","11001","0","2","2","0","1","1","1","1","1","1","32","54","33","32","72","329","10/10/2024 16:12:52","10/10/2024 16:12:52","Regional Development Bank","Plastic Waste-to-Energy","Non-circular Pathways","140","183"
"269","public finance","Domestic Finance","2020","2018","France","Europe","Lower middle income","0","0","1","1","Ministry of Environment and Renewable Energy","Research Institute","International Union for Conservation of Nature (IUCN)","UNEP","Africa","Kenya","International Agency","Post-Secondary Education","0AulM1fn3FPOP2lX","Amazon Fund","Multilateral","7","0","B03","21000","1","1",,"1","0","1","0","1","1","1","7","31","60","83","44","968","10/10/2024 16:12:52","10/10/2024 16:12:52","Institutional Investors","Recovery for controlled disposal","Non-circular Pathways","108","17"
"270","public finance","Domestic Finance","2020","2021","Ethiopia","Africa","High income","0","0","0","0","Economic Affairs and Investment Division Ministry of Finance","Government","World Bank","South Korea","Asia","South Korea","Regional agency","Post-Secondary Education","JV7xbXaEQWkCiPeI","Amazon Fund","Multi Donor National","7","0","B03","22000",,"1","0","1","0","0","1","1","1","1","12","39","34","40","63","840","10/10/2024 16:12:52","10/10/2024 16:12:52","Other MEAs","Other Services","Supporting Pathways","21","122"
"271","private finance","Private Finance","2018","2023","Kenya","Africa","High income","1","1","1","0","Ministry of Environment and Renewable Energy","Corporation","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","Non-profit regional funds","Water Supply & Sanitation","5oMdYnl6XgeL59ua","Adaptation for Smallholder Agriculture Programme (ASAP)","Multi Donor Regional","1","0","D02","11001","0","1",,"0","0","0","0","0","0","0","68","81","4","64","88","774","10/10/2024 16:12:52","10/10/2024 16:12:52","World Bank Group (WB)","Recovery for controlled disposal","Non-circular Pathways","26","122"
"272","public finance","Domestic Finance","2019","2021","Sweden","Europe","Lower middle income","1","1","1","0","Economic Affairs and Investment Division Ministry of Finance","Non-profit organization","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","Non-profit regional funds","Transport & Storage","xcmNGstbAM99hzm9","Adaptation Fund (AF)","Multi Donor Regional","8","1","D02","22000","2","0","1","1","1","0","0","0","1","1","45","91","60","34","93","935","10/10/2024 16:12:52","10/10/2024 16:12:52","Regional Development Bank","Circular Design and Production","Circular Pathways","59","46"
"273","public finance","MEA Finance","2022","2024","Somalia","Africa","High income","1","0","0","0","Ministry of Environment and Renewable Energy","Regional Government","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Corporation","Transport & Storage","ZGIxXzPIUGZf3PTu","Amazon Fund","Multilateral","1","1","C01","11001",,"1","2","0","1","0","0","0","1","0","97","64","29","64","97","770","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Investors","Operational Platforms","Supporting Pathways","111","162"
"274","private finance","Private Finance","2021","2020","Canada","North America","Upper middle income","1","0","1","1","Economic Affairs and Investment Division Ministry of Finance","Regional agency","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Foundation","Water Supply & Sanitation","ODXIirNDpMAQQGVG","Amazon Fund","Multi Donor National","1","1","B03","22000","0","1","2","0","0","0","0","0","1","1","52","24","58","28","30","761","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Corporations","Plastic Waste-to-Energy","Non-circular Pathways","21","125"
